,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2
0,7239,5,0000000000,0,C,15,5
0,7240,7,0000000000,0,D,18,8
0,7241,2,0000000000,0,S,16,6
0,7242,8,0000100000,32,A,18,8
0,7243,6,0000000000,0,B,19,9
0,7244,9,0000000000,0,C,18,8
0,7245,7,0000000000,0,D,19,9
0,7246,5,0000000000,0,S,16,6
0,7247,7,0000000000,0,A,19,9
0,7248,7,0000000000,0,B,16,6
0,7249,5,0000000000,0,C,19,9
0,7250,7,0000000000,0,D,18,8
0,7251,5,0000000000,0,S,16,6
0,7252,6,0000100000,32,A,18,8
0,7253,10,0001000000,64,B,13,3
0,7254,8,0000000000,0,C,18,8
0,7255,7,0000000000,0,D,18,8
0,7256,4,0000000000,0,S,11,1
0,7257,6,0000100000,32,A,18,8
0,7258,6,0000000000,0,B,18,8
0,7259,7,0000000000,0,C,19,9
0,7260,13,0000000000,0,D,18,8
0,7261,11,0000000000,0,S,17,7
0,7262,5,0000000000,0,A,11,1
0,7263,7,0000000000,0,B,18,8
0,7264,6,0000000000,0,C,16,6
0,7265,8,0000000000,0,D,18,8
0,7266,8,0000000000,0,S,17,7
0,7267,6,0000000000,0,A,19,9
0,7268,6,0000000000,0,B,19,9
0,7269,7,0000000000,0,C,19,9
0,7270,13,0000000000,0,D,17,7
0,7271,2,0001000000,64,S,16,6
0,7272,6,0000000000,0,A,19,9
0,7273,5,0000000000,0,B,19,9
0,7274,8,0000000000,0,C,17,7
0,7275,7,0000100000,32,D,13,3
0,7276,11,0000000000,0,S,17,7
0,7277,5,0000000000,0,A,18,8
0,7278,20,0001000000,64,B,3,3
0,7279,5,0000000000,0,C,17,7
0,7280,6,0000000000,0,D,13,3
0,7281,5,0000000000,0,S,16,6
0,7282,5,0000100000,32,A,18,8
0,7283,10,0000000000,0,B,18,8
0,7284,2,0000000000,0,C,19,9
0,7285,12,0000000000,0,D,19,9
0,7286,3,0000000000,0,S,12,2
0,7287,4,0000000000,0,A,19,9
0,7288,18,0001000000,64,B,13,3
0,7289,12,0000000000,0,C,14,4
0,7290,5,0000000000,0,D,17,7
0,7291,9,0001000000,64,S,17,7
0,7292,5,0000100000,32,A,18,8
0,7293,6,0000000000,0,B,19,9
0,7294,7,0000000000,0,C,18,8
0,7295,8,0000000000,0,D,16,6
0,7296,7,0000100000,32,S,12,2
0,7297,7,0000000000,0,A,18,8
0,7298,4,0000000000,0,B,11,1
0,7299,6,0000000000,0,C,16,6
0,7300,8,0000000000,0,D,15,5
0,7301,6,0000000000,0,S,17,7
0,7302,5,0000100000,32,A,19,9
0,7303,8,0000000000,0,B,18,8
0,7304,5,0000000000,0,C,17,7
0,7305,6,0000000000,0,D,12,2
0,7306,2,0000000000,0,S,10,0
0,7307,5,0000000000,0,A,18,8
0,7308,8,0000100000,32,B,12,2
0,7309,3,0000000000,0,C,18,8
0,7310,7,0000000000,0,D,16,6
0,7311,3,0001000000,64,S,16,6
0,7312,5,0000000000,0,A,18,8
0,7313,8,0001000000,64,B,13,3
0,7314,9,0010000000,128,C,15,5
0,7315,9,0000000000,0,D,19,9
0,7316,5,0000000000,0,S,17,7
0,7317,6,0000000000,0,A,18,8
0,7318,3,0000000000,0,B,17,7
0,7319,4,0000000000,0,C,16,6
0,7320,8,0000000000,0,D,19,9
0,7321,5,0000000000,0,S,12,2
0,7322,6,0000000000,0,A,19,9
0,7323,6,0000000000,0,B,18,8
0,7324,6,0000000000,0,C,19,9
0,7325,10,0000000000,0,D,19,9
0,7326,5,0000000000,0,S,17,7
0,7327,7,0000000000,0,A,18,8
0,7328,9,0000000000,0,B,18,8
0,7329,6,0000000000,0,C,19,9
0,7330,4,0000000000,0,D,16,6
0,7331,8,0001000000,64,S,17,7
0,7332,6,0000000000,0,A,18,8
0,7333,20,0000100000,32,B,3,3
0,7334,8,0000000000,0,C,18,8
0,7335,17,0000100000,32,D,13,3
0,7336,5,0001000000,64,S,16,6
0,7337,9,0000000000,0,A,19,9
0,7338,5,0000000000,0,B,13,3
0,7339,6,0000010000,16,C,18,8
0,7340,9,0001000000,64,D,13,3
0,7341,5,0000000000,0,S,17,7
0,7342,3,0000100000,32,A,18,8
0,7343,6,0000000000,0,B,18,8
0,7344,3,0000000000,0,C,17,7
0,7345,8,0000000000,0,D,19,9
0,7346,9,0000000000,0,S,16,6
0,7347,3,0000000000,0,A,11,1
0,7348,20,0001000000,64,B,2,2
0,7349,3,0000000000,0,C,18,8
0,7350,8,0000000000,0,D,13,3
0,7351,9,0001000000,64,S,16,6
0,7352,4,0000000000,0,A,18,8
0,7353,6,0000000000,0,B,16,6
0,7354,4,0000000000,0,C,18,8
0,7355,7,0000000000,0,D,18,8
0,7356,6,0000000000,0,S,16,6
0,7357,6,0000000000,0,A,18,8
0,7358,13,0000100000,32,B,13,3
0,7359,8,0000000000,0,C,16,6
0,7360,7,0000000000,0,D,19,9
0,7361,3,0000000000,0,S,16,6
0,7362,5,0000000000,0,A,18,8
0,7363,7,0000000000,0,B,18,8
0,7364,6,0000000000,0,C,19,9
0,7365,7,0000000000,0,D,12,2
0,7366,13,0000100000,32,S,12,2
0,7367,10,0001000000,64,A,14,4
0,7368,7,0000000000,0,B,18,8
0,7369,9,0000000000,0,C,18,8
